time,Mkt-RF,RF
20170621,-0.07,0.003
20170622,0.02,0.003
20170623,0.24,0.003
20170626,0.04,0.003
20170627,-0.85,0.003
20170628,1.02,0.003
20170629,-0.83,0.003
20170630,0.14,0.003
20170703,0.24,0.004
20170705,0.12,0.004
20170706,-0.95,0.004
20170707,0.7,0.004
20170710,0.05,0.004
20170711,0,0.004
20170712,0.72,0.004
20170713,0.17,0.004
20170714,0.42,0.004
20170717,0,0.004
20170718,0.04,0.004
20170719,0.59,0.004
20170720,0,0.004
20170721,-0.08,0.004
20170724,-0.03,0.004
20170725,0.38,0.004
20170726,-0.06,0.004
20170727,-0.14,0.004
20170728,-0.17,0.004
20170731,-0.11,0.004
20170801,0.24,0.004
20170802,-0.08,0.004
20170803,-0.21,0.004
20170804,0.25,0.004
20170807,0.16,0.004
20170808,-0.24,0.004
20170809,-0.14,0.004
20170810,-1.49,0.004
20170811,0.19,0.004
20170814,1.03,0.004
20170815,-0.11,0.004
20170816,0.18,0.004
20170817,-1.6,0.004
20170818,-0.15,0.004
20170821,0.06,0.004
20170822,1.07,0.004
20170823,-0.33,0.004
20170824,-0.14,0.004
20170825,0.18,0.004
20170828,0.08,0.004
20170829,0.1,0.004
20170830,0.53,0.004
20170831,0.62,0.004
20170901,0.27,0.005
20170905,-0.81,0.005
20170906,0.28,0.005
20170907,-0.07,0.005
20170908,-0.16,0.005
20170911,1.08,0.005
20170912,0.44,0.005
20170913,0.11,0.005
20170914,-0.12,0.005
20170915,0.19,0.005
20170918,0.24,0.005
20170919,0.15,0.005
20170920,0.16,0.005
20170921,-0.28,0.005
20170922,0.12,0.005
20170925,-0.25,0.005
20170926,0.05,0.005
20170927,0.63,0.005
20170928,0.13,0.005
20170929,0.35,0.005
20171002,0.5,0.004
20171003,0.26,0.004
20171004,0.05,0.004
20171005,0.55,0.004
20171006,-0.08,0.004
20171009,-0.22,0.004
20171010,0.24,0.004
20171011,0.16,0.004
20171012,-0.18,0.004
20171013,0.04,0.004
20171016,0.17,0.004
20171017,0.01,0.004
20171018,0.14,0.004
20171019,0.02,0.004
20171020,0.57,0.004
20171023,-0.45,0.004
20171024,0.2,0.004
20171025,-0.51,0.004
20171026,0.2,0.004
20171027,0.82,0.004
20171030,-0.46,0.004
20171031,0.23,0.004
20171101,0.05,0.004
20171102,0.06,0.004
20171103,0.31,0.004
20171106,0.06,0.004
20171107,-0.2,0.004
20171108,0.12,0.004
20171109,-0.41,0.004
20171110,0.01,0.004
20171113,0.09,0.004
20171114,-0.22,0.004
20171115,-0.52,0.004
20171116,1.01,0.004
20171117,-0.14,0.004
20171120,0.21,0.004
20171121,0.67,0.004
20171122,-0.05,0.004
20171124,0.21,0.004
20171127,-0.06,0.004
20171128,1.06,0.004
20171129,0.02,0.004
20171130,0.82,0.004
20171201,-0.22,0.004
20171204,-0.1,0.004
20171205,-0.43,0.004
20171206,-0.09,0.004
20171207,0.42,0.004
20171208,0.51,0.004
20171211,0.26,0.004
20171212,0.07,0.004
20171213,0.02,0.004
20171214,-0.47,0.004
20171215,0.92,0.004
20171218,0.67,0.004
20171219,-0.3,0.004
20171220,0.01,0.004
20171221,0.24,0.004
20171222,-0.07,0.004
20171226,-0.07,0.004
20171227,0.05,0.004
20171228,0.22,0.004
20171229,-0.57,0.004
20180102,0.85,0.006
20180103,0.59,0.006
20180104,0.42,0.006
20180105,0.66,0.006
20180108,0.19,0.006
20180109,0.15,0.006
20180110,-0.07,0.006
20180111,0.87,0.006
20180112,0.66,0.006
20180116,-0.49,0.006
20180117,0.95,0.006
20180118,-0.18,0.006
20180119,0.57,0.006
20180122,0.77,0.006
20180123,0.22,0.006
20180124,-0.13,0.006
20180125,0.07,0.006
20180126,1.11,0.006
20180129,-0.62,0.006
20180130,-1.06,0.006
20180131,-0.07,0.006
20180201,0.03,0.006
20180202,-2.13,0.006
20180205,-4.03,0.006
20180206,1.67,0.006
20180207,-0.38,0.006
20180208,-3.68,0.006
20180209,1.36,0.006
20180212,1.36,0.006
20180213,0.31,0.006
20180214,1.52,0.006
20180215,1.21,0.006
